=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkValidateFields_Success-32                         	10931799	       107.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAudit_Parallelism/N=1-32                          	11800356	        99.06 ns/op	      30 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=1-32                          	11756641	       100.1 ns/op	      29 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=1-32                          	12259010	       100.0 ns/op	      30 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=1-32                          	11468512	       100.6 ns/op	      28 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=10-32                         	14410543	        79.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=10-32                         	12658720	        80.46 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=10-32                         	13024671	        79.99 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=10-32                         	12660542	        79.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=10-32                         	14915984	        82.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=50-32                         	13408266	        75.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=50-32                         	14302792	        76.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=50-32                         	14276299	        76.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=50-32                         	14540768	        76.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=50-32                         	13949317	        76.87 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=100-32                        	14154072	        77.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=100-32                        	14037768	        77.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=100-32                        	14460111	        76.69 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=100-32                        	14021272	        75.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=100-32                        	13640422	        78.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=200-32                        	13808481	        76.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=200-32                        	13343749	        76.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=200-32                        	14137900	        76.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=200-32                        	14016673	        76.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_Parallelism/N=200-32                        	13922690	        76.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkAudit_NoSanitizer-32                              	 2579932	       444.2 ns/op	     220 B/op	       1 allocs/op
BenchmarkAudit_NoSanitizer-32                              	 2613415	       420.7 ns/op	     211 B/op	       1 allocs/op
BenchmarkAudit_NoSanitizer-32                              	 2869962	       424.4 ns/op	     196 B/op	       1 allocs/op
BenchmarkAudit_NoSanitizer-32                              	 2852463	       402.3 ns/op	     200 B/op	       1 allocs/op
BenchmarkAudit_NoSanitizer-32                              	 2724247	       418.8 ns/op	     203 B/op	       1 allocs/op
BenchmarkAudit_NilSanitizer-32                             	 2772828	       445.2 ns/op	     218 B/op	       1 allocs/op
BenchmarkAudit_NilSanitizer-32                             	 2766928	       420.2 ns/op	     208 B/op	       1 allocs/op
BenchmarkAudit_NilSanitizer-32                             	 2846560	       436.9 ns/op	     208 B/op	       1 allocs/op
BenchmarkAudit_NilSanitizer-32                             	 2837476	       455.0 ns/op	     211 B/op	       1 allocs/op
BenchmarkAudit_NilSanitizer-32                             	 2936468	       412.3 ns/op	     193 B/op	       1 allocs/op
BenchmarkAudit_NoopSanitizer-32                            	 2154511	       495.8 ns/op	     246 B/op	       1 allocs/op
BenchmarkAudit_NoopSanitizer-32                            	 2468160	       485.0 ns/op	     237 B/op	       1 allocs/op
BenchmarkAudit_NoopSanitizer-32                            	 2421370	       495.5 ns/op	     240 B/op	       1 allocs/op
BenchmarkAudit_NoopSanitizer-32                            	 2526463	       481.4 ns/op	     234 B/op	       1 allocs/op
BenchmarkAudit_NoopSanitizer-32                            	 2389232	       495.9 ns/op	     237 B/op	       1 allocs/op
BenchmarkAudit_TransformSanitizer-32                       	 2182162	       535.9 ns/op	     260 B/op	       1 allocs/op
BenchmarkAudit_TransformSanitizer-32                       	 2228227	       504.6 ns/op	     249 B/op	       1 allocs/op
BenchmarkAudit_TransformSanitizer-32                       	 2359465	       535.8 ns/op	     247 B/op	       1 allocs/op
BenchmarkAudit_TransformSanitizer-32                       	 2305108	       515.4 ns/op	     250 B/op	       1 allocs/op
BenchmarkAudit_TransformSanitizer-32                       	 2347418	       522.2 ns/op	     249 B/op	       1 allocs/op
BenchmarkAudit_SelectiveSanitizer-32                       	 2273270	       522.7 ns/op	     252 B/op	       1 allocs/op
BenchmarkAudit_SelectiveSanitizer-32                       	 2526274	       478.7 ns/op	     232 B/op	       1 allocs/op
BenchmarkAudit_SelectiveSanitizer-32                       	 2465047	       528.9 ns/op	     242 B/op	       1 allocs/op
BenchmarkAudit_SelectiveSanitizer-32                       	 2367998	       478.3 ns/op	     236 B/op	       1 allocs/op
BenchmarkAudit_SelectiveSanitizer-32                       	 2548447	       489.6 ns/op	     234 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/3fields-32         	 2497267	       473.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/3fields-32         	 2553105	       471.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/3fields-32         	 2560107	       470.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/3fields-32         	 2504026	       481.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/3fields-32         	 2534484	       469.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/3fields_sync-32   	 1329369	       902.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/3fields_sync-32   	 1327765	       902.8 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/3fields_sync-32   	 1338301	       897.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/3fields_sync-32   	 1339158	       900.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/3fields_sync-32   	 1324705	       904.8 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields-32        	 1232270	       971.4 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields-32        	 1236060	       972.4 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields-32        	 1231045	       975.8 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields-32        	 1241518	       969.6 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields-32        	 1237531	       963.3 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields_LogAttrs-32         	 1401672	       857.0 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields_LogAttrs-32         	 1388125	       868.8 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields_LogAttrs-32         	 1390825	       867.4 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields_LogAttrs-32         	 1382119	       865.7 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/slog/10fields_LogAttrs-32         	 1393622	       861.6 ns/op	     208 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync-32            	  632302	      1887 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync-32            	  631749	      1890 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync-32            	  619788	      1879 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync-32            	  631509	      1887 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync-32            	  640652	      1880 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_WithHMAC-32   	  517635	      2315 ns/op	      88 B/op	       2 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_WithHMAC-32   	  522832	      2327 ns/op	      88 B/op	       2 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_WithHMAC-32   	  510950	      2329 ns/op	      88 B/op	       2 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_WithHMAC-32   	  521002	      2334 ns/op	      88 B/op	       2 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_WithHMAC-32   	  497154	      2334 ns/op	      88 B/op	       2 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_FanOut4-32    	  573373	      2062 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_FanOut4-32    	  582331	      2063 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_FanOut4-32    	  560710	      2080 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_FanOut4-32    	  535819	      2076 ns/op	      24 B/op	       1 allocs/op
BenchmarkSlog_JSONHandler_BaselineComparison/audit/10fields_sync_FanOut4-32    	  574514	      2055 ns/op	      24 B/op	       1 allocs/op
BenchmarkNewEventKV-32                                                         	 7548340	       140.0 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                                         	 9372807	       126.4 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                                         	 7456219	       137.0 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                                         	 8202384	       146.4 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                                         	 7388432	       157.9 ns/op	     360 B/op	       3 allocs/op
BenchmarkMatchesRoute/empty_route-32                                           	482740292	         2.477 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                                           	488878306	         2.441 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                                           	482874967	         2.455 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                                           	488354918	         2.474 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                                           	491297457	         2.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                                    	352683390	         3.561 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                                    	355433976	         3.593 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                                    	336408055	         3.462 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                                    	349657966	         3.616 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                                    	318905340	         5.863 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                                    	124221399	         9.647 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                                    	122960301	         9.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                                    	125676320	         9.659 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                                    	124026080	         9.672 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                                    	123745897	         9.724 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32                                   	149707867	         7.891 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32                                   	150193280	         7.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32                                   	152673368	         7.840 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32                                   	150980732	         8.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32                                   	150078915	         7.948 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_20_categories-32                                 	162790143	         7.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_20_categories-32                                 	163033323	         7.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_20_categories-32                                 	163658254	         7.350 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_20_categories-32                                 	162765290	         7.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_20_categories-32                                 	163184874	         8.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=4-32                                      	276715798	         4.723 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=4-32                                      	253080595	         4.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=4-32                                      	317253430	         4.714 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=4-32                                      	249855162	         4.733 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=4-32                                      	256050530	         4.714 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=5-32                                      	144894429	         8.336 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=5-32                                      	144296586	         8.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=5-32                                      	144214278	         8.346 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=5-32                                      	144248986	         8.323 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=5-32                                      	144817555	         8.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=16-32                                     	157805529	         7.336 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=16-32                                     	155782839	         7.372 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=16-32                                     	161803365	         7.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=16-32                                     	161013828	         7.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=16-32                                     	162701090	         7.348 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=32-32                                     	163907767	         7.362 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=32-32                                     	163881861	         7.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=32-32                                     	162956706	         7.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=32-32                                     	163838384	         7.371 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_LargeInclude/N=32-32                                     	164091806	         7.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_FanoutMix-32                                             	214229847	         5.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_FanoutMix-32                                             	215822407	         5.594 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_FanoutMix-32                                             	214013853	         5.631 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_FanoutMix-32                                             	217396410	         5.598 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_FanoutMix-32                                             	215106678	         5.601 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONFormatter_Format-32                                               	 3432385	       343.2 ns/op	     176 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format-32                                               	 3332088	       343.4 ns/op	     176 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format-32                                               	 3250114	       349.8 ns/op	     176 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format-32                                               	 3341872	       381.1 ns/op	     176 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format-32                                               	 3338239	       347.7 ns/op	     176 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format-32                                                	 3100933	       387.3 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format-32                                                	 3045775	       387.4 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format-32                                                	 3071875	       392.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format-32                                                	 3007143	       389.6 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format-32                                                	 3048786	       390.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format_LargeEvent-32                                    	 1047444	      1146 ns/op	     640 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format_LargeEvent-32                                    	  948885	      1151 ns/op	     640 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format_LargeEvent-32                                    	  939100	      1155 ns/op	     640 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format_LargeEvent-32                                    	  919378	      1132 ns/op	     640 B/op	       1 allocs/op
BenchmarkJSONFormatter_Format_LargeEvent-32                                    	  904970	      1137 ns/op	     640 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent-32                                     	  897087	      1216 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent-32                                     	  952389	      1206 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent-32                                     	  897535	      1190 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent-32                                     	  952089	      1241 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent-32                                     	  990819	      1238 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent_Escaping-32                            	  601404	      1971 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent_Escaping-32                            	  578066	      1957 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent_Escaping-32                            	  571728	      1960 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent_Escaping-32                            	  597565	      1914 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_LargeEvent_Escaping-32                            	  596877	      1975 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Numeric-32                                        	 1000000	      1150 ns/op	     288 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Numeric-32                                        	 1000000	      1155 ns/op	     288 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Numeric-32                                        	  983104	      1189 ns/op	     288 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Numeric-32                                        	  971895	      1163 ns/op	     288 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Numeric-32                                        	  921421	      1235 ns/op	     288 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Duration-32                                       	 2953574	       402.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Duration-32                                       	 2989352	       394.7 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Duration-32                                       	 2940192	       394.7 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Duration-32                                       	 3045375	       390.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Duration-32                                       	 3055722	       397.7 ns/op	     160 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Parallel-32                                       	 4190631	       279.3 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Parallel-32                                       	 5423137	       211.6 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Parallel-32                                       	 5802856	       265.9 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Parallel-32                                       	 5400032	       267.4 ns/op	     576 B/op	       1 allocs/op
BenchmarkCEFFormatter_Format_Parallel-32                                       	 5466721	       205.1 ns/op	     576 B/op	       1 allocs/op
BenchmarkFormatJSON_WithConfigFields-32                                        	 2740084	       432.0 ns/op	     240 B/op	       2 allocs/op
BenchmarkFormatJSON_WithConfigFields-32                                        	 2717733	       433.1 ns/op	     240 B/op	       2 allocs/op
BenchmarkFormatJSON_WithConfigFields-32                                        	 2784361	       416.6 ns/op	     240 B/op	       2 allocs/op
BenchmarkFormatJSON_WithConfigFields-32                                        	 2729943	       425.8 ns/op	     240 B/op	       2 allocs/op
BenchmarkFormatJSON_WithConfigFields-32                                        	 2662744	       427.8 ns/op	     240 B/op	       2 allocs/op
BenchmarkFormatCEF_WithConfigFields-32                                         	 3112020	       378.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkFormatCEF_WithConfigFields-32                                         	 3089010	       383.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkFormatCEF_WithConfigFields-32                                         	 3136012	       380.9 ns/op	     160 B/op	       1 allocs/op
BenchmarkFormatCEF_WithConfigFields-32                                         	 3020898	       381.6 ns/op	     160 B/op	       1 allocs/op
BenchmarkFormatCEF_WithConfigFields-32                                         	 3177739	       373.9 ns/op	     160 B/op	       1 allocs/op
BenchmarkFormatJSON_WithAllReservedFields-32                                   	 1000000	      1014 ns/op	     448 B/op	       2 allocs/op
BenchmarkFormatJSON_WithAllReservedFields-32                                   	 1000000	      1012 ns/op	     448 B/op	       2 allocs/op
BenchmarkFormatJSON_WithAllReservedFields-32                                   	 1000000	      1026 ns/op	     448 B/op	       2 allocs/op
BenchmarkFormatJSON_WithAllReservedFields-32                                   	 1000000	      1024 ns/op	     448 B/op	       2 allocs/op
BenchmarkFormatJSON_WithAllReservedFields-32                                   	 1000000	      1017 ns/op	     448 B/op	       2 allocs/op
BenchmarkFormatCEF_WithAllReservedFields-32                                    	 1220984	       989.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkFormatCEF_WithAllReservedFields-32                                    	 1202373	       960.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkFormatCEF_WithAllReservedFields-32                                    	 1221530	       996.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkFormatCEF_WithAllReservedFields-32                                    	 1225465	       971.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkFormatCEF_WithAllReservedFields-32                                    	 1224272	       978.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkHMAC_SHA256_SmallEvent-32                                             	 2656393	       463.4 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_SmallEvent-32                                             	 2363103	       479.7 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_SmallEvent-32                                             	 2394498	       495.9 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_SmallEvent-32                                             	 2298483	       496.6 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_SmallEvent-32                                             	 2447923	       472.4 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_LargeEvent-32                                             	  967248	      1208 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_LargeEvent-32                                             	  894729	      1223 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_LargeEvent-32                                             	  929949	      1235 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_LargeEvent-32                                             	  980820	      1223 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA256_LargeEvent-32                                             	  897998	      1210 ns/op	     640 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                                             	 1000000	      1090 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                                             	 1000000	      1096 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                                             	 1088582	      1114 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                                             	 1153918	      1048 ns/op	    1120 B/op	       8 allocs/op
BenchmarkHMAC_SHA512_SmallEvent-32                                             	 1000000	      1101 ns/op	    1120 B/op	       8 allocs/op
BenchmarkMiddleware-32                                                         	  947997	      1197 ns/op	    1683 B/op	      12 allocs/op
BenchmarkMiddleware-32                                                         	 1000000	      1173 ns/op	    1674 B/op	      12 allocs/op
BenchmarkMiddleware-32                                                         	  991716	      1200 ns/op	    1676 B/op	      12 allocs/op
BenchmarkMiddleware-32                                                         	 1000000	      1263 ns/op	    1680 B/op	      12 allocs/op
BenchmarkMiddleware-32                                                         	  940436	      1219 ns/op	    1684 B/op	      12 allocs/op
BenchmarkMiddleware_Parallel-32                                                	  730491	      1803 ns/op	    2074 B/op	      14 allocs/op
BenchmarkMiddleware_Parallel-32                                                	  770485	      1805 ns/op	    2071 B/op	      14 allocs/op
BenchmarkMiddleware_Parallel-32                                                	  777362	      1805 ns/op	    2063 B/op	      14 allocs/op
BenchmarkMiddleware_Parallel-32                                                	  757574	      1783 ns/op	    2070 B/op	      14 allocs/op
BenchmarkMiddleware_Parallel-32                                                	  770233	      1830 ns/op	    2069 B/op	      14 allocs/op
BenchmarkNew_Construction-32                                                   	   38047	     29486 ns/op	   89734 B/op	     115 allocs/op
BenchmarkNew_Construction-32                                                   	   59466	     29254 ns/op	   89746 B/op	     115 allocs/op
BenchmarkNew_Construction-32                                                   	   38491	     31316 ns/op	   89754 B/op	     115 allocs/op
BenchmarkNew_Construction-32                                                   	   35642	     31699 ns/op	   89751 B/op	     115 allocs/op
BenchmarkNew_Construction-32                                                   	   44229	     29626 ns/op	   89748 B/op	     115 allocs/op
BenchmarkMatchesRoute_PerCategorySeverity-32                                   	125629591	         9.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_PerCategorySeverity-32                                   	125471689	         9.481 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_PerCategorySeverity-32                                   	126022498	         9.486 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_PerCategorySeverity-32                                   	124203057	         9.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_PerCategorySeverity-32                                   	126105862	         9.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_MixedNilAndFilter-32                                     	129015651	         9.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_MixedNilAndFilter-32                                     	131101914	         9.118 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_MixedNilAndFilter-32                                     	131119755	         9.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_MixedNilAndFilter-32                                     	132048790	         9.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_MixedNilAndFilter-32                                     	131845452	         9.106 ns/op	       0 B/op	       0 allocs/op
